title,firstname,lastname,party,state,district,bioguide_id,birthdate,twitter_id
Rep,Donald,Payne,D,NJ,10,P000604,1958-12-17,RepDonaldPayne
Rep,Scott,Perry,R,PA,4,P000605,1962-05-27,RepScottPerry
Rep,Robert,Pittenger,R,NC,9,P000606,1948-08-15,RepPittenger
Rep,Scott,Peters,D,CA,52,P000608,1958-06-17,RepScottPeters
Rep,Mike,Quigley,D,IL,5,Q000023,1958-10-17,RepMikeQuigley
Rep,Charles,Rangel,D,NY,13,R000053,1930-06-11,cbrangel
Sen,John,Reed,D,RI,Senior Seat,R000122,1949-11-12,SenJackReed
Sen,Harry,Reid,D,NV,Senior Seat,R000146,1939-12-02,SenatorReid
Sen,Pat,Roberts,R,KS,Senior Seat,R000307,1936-04-20,senpatroberts
Sen,John,Rockefeller,D,WV,Senior Seat,R000361,1937-06-18,senrockefeller
Rep,Harold,Rogers,R,KY,5,R000395,1937-12-31,RepHalRogers
Rep,Ileana,Ros-Lehtinen,R,FL,27,R000435,1952-07-15,RosLehtinen
Rep,Lucille,Roybal-Allard,D,CA,40,R000486,1941-06-12,RepRoybalAllard
Rep,Edward,Royce,R,CA,39,R000487,1951-10-12,RepEdRoyce
Rep,Bobby,Rush,D,IL,1,R000515,1946-11-23,RepBobbyRush
Rep,Paul,Ryan,R,WI,1,R000570,1970-01-29,reppaulryan
Rep,Mike,Rogers,R,MI,8,R000572,1963-06-02,RepMikeRogers
Rep,Mike,Rogers,R,AL,3,R000575,1958-07-16,RepMikeRogersAL
Rep,C.,Ruppersberger,D,MD,2,R000576,1946-01-31,Call_Me_Dutch
Rep,Tim,Ryan,D,OH,13,R000577,1973-07-16,RepTimRyan
Rep,David,Reichert,R,WA,8,R000578,1950-08-29,davereichert
Rep,Peter,Roskam,R,IL,6,R000580,1961-09-13,PeterRoskam
Rep,David,Roe,R,TN,1,R000582,1945-07-21,DrPhilRoe
Rep,Thomas,Rooney,R,FL,17,R000583,1970-11-21,TomRooney
Rep,Tom,Reed,R,NY,23,R000585,1971-11-18,RepTomReed
Rep,James,Renacci,R,OH,16,R000586,1958-12-03,repjimrenacci
Rep,Reid,Ribble,R,WI,8,R000587,1956-04-05,RepRibble
Rep,Cedric,Richmond,D,LA,2,R000588,1973-09-13,reprichmond
Rep,E.,Rigell,R,VA,2,R000589,1960-05-28,repscottrigell
Rep,Martha,Roby,R,AL,2,R000591,1976-07-27,RepMarthaRoby
Rep,Todd,Rokita,R,IN,4,R000592,1970-02-09,ToddRokita
Rep,Dennis,Ross,R,FL,15,R000593,1959-10-18,RepDennisRoss
Rep,Jon,Runyan,R,NJ,3,R000594,1973-11-27,RepJonRunyan
Sen,Marco,Rubio,R,FL,Junior Seat,R000595,1971-05-28,SenRubioPress
Rep,Tom,Rice,R,SC,7,R000597,1957-08-04,RepTomRice
Rep,Keith,Rothfus,R,PA,12,R000598,1962-04-25,KeithRothfus
Rep,Raul,Ruiz,D,CA,36,R000599,1972-08-25,CongressmanRuiz
Rep,Matt,Salmon,R,AZ,5,S000018,1958-01-21,RepMattSalmon
Rep,Loretta,Sanchez,D,CA,46,S000030,1960-01-07,lorettasanchez
Sen,Bernard,Sanders,I,VT,Junior Seat,S000033,1941-09-08,sensanders
Sen,Charles,Schumer,D,NY,Senior Seat,S000148,1950-11-23,chuckschumer
Rep,Robert,Scott,D,VA,3,S000185,1947-04-30,repbobbyscott
Rep,F.,Sensenbrenner,R,WI,5,S000244,1943-06-14,JimPressOffice
Rep,José,Serrano,D,NY,15,S000248,1943-10-24,repjoseserrano
Rep,Pete,Sessions,R,TX,32,S000250,1955-03-22,petesessions
Sen,Richard,Shelby,R,AL,Senior Seat,S000320,1934-05-06,SenShelbyPress
Rep,Brad,Sherman,D,CA,30,S000344,1954-10-24,BradSherman
Rep,John,Shimkus,R,IL,15,S000364,1958-02-21,RepShimkus
Rep,Louise,Slaughter,D,NY,25,S000480,1929-08-14,louiseslaughter
Rep,Adam,Smith,D,WA,9,S000510,1965-06-15,Rep_Adam_Smith
Rep,Lamar,Smith,R,TX,21,S000583,1947-11-19,LamarSmithTX21
Sen,Debbie,Stabenow,D,MI,Junior Seat,S000770,1950-04-29,StabenowPress
Rep,Steve,Stockman,R,TX,36,S000937,1956-11-14,SteveStockmanTX
Sen,Jefferson,Sessions,R,AL,Junior Seat,S001141,1946-12-24,SenatorSessions
Rep,Janice,Schakowsky,D,IL,9,S001145,1944-05-26,janschakowsky
Rep,Michael,Simpson,R,ID,2,S001148,1950-09-08,CongMikeSimpson
Rep,Adam,Schiff,D,CA,28,S001150,1960-06-22,RepAdamSchiff
Rep,Bill,Shuster,R,PA,9,S001154,1961-01-10,RepBillShuster
Rep,Linda,Sánchez,D,CA,38,S001156,1969-01-28,replindasanchez
Rep,David,Scott,D,GA,13,S001157,1946-06-27,repdavidscott
Rep,Albio,Sires,D,NJ,8,S001165,1951-01-26,Rep_Albio_Sires
Rep,Carol,Shea-Porter,D,NH,1,S001170,1952-12-02,RepSheaPorter
Rep,Adrian,Smith,R,NE,3,S001172,1970-12-19,RepAdrianSmith
Rep,Jackie,Speier,D,CA,14,S001175,1950-05-14,repspeier
Rep,Aaron,Schock,R,IL,18,S001179,1981-05-28,repaaronschock
Rep,Kurt,Schrader,D,OR,5,S001180,1951-10-19,repschrader
Sen,Jeanne,Shaheen,D,NH,Senior Seat,S001181,1947-01-28,SenatorShaheen
Rep,David,Schweikert,R,AZ,6,S001183,1962-03-03,RepDavid
Sen,Tim,Scott,R,SC,Junior Seat,S001184,1965-09-19,SenatorTimScott
Rep,Terri,Sewell,D,AL,7,S001185,1965-01-01,RepTerriSewell
Rep,Steve,Southerland,R,FL,2,S001186,1965-10-10,Rep_Southerland
Rep,Steve,Stivers,R,OH,15,S001187,1965-03-24,RepSteveStivers
Rep,Marlin,Stutzman,R,IN,3,S001188,1976-08-31,RepStutzman
Rep,Austin,Scott,R,GA,8,S001189,1969-12-10,AustinScottGA08
Rep,Bradley,Schneider,D,IL,10,S001190,1961-08-20,RepSchneider
Rep,Kyrsten,Sinema,D,AZ,9,S001191,1976-07-12,RepSinema
Rep,Chris,Stewart,R,UT,2,S001192,1960-07-15,repchrisstewart
Rep,Eric,Swalwell,D,CA,15,S001193,1980-11-16,repswalwell
Rep,Bennie,Thompson,D,MS,2,T000193,1948-01-28,BennieGThompson
Rep,Mac,Thornberry,R,TX,13,T000238,1958-07-15,MacTXPress
Sen,John,Thune,R,SD,Junior Seat,T000250,1961-01-07,senjohnthune
Rep,John,Tierney,D,MA,6,T000266,1951-09-18,RepTierney
Rep,Lee,Terry,R,NE,2,T000459,1962-01-29,LEETERRYNE
Sen,Patrick,Toomey,R,PA,Junior Seat,T000461,1961-11-17,SenToomey
Rep,Patrick,Tiberi,R,OH,12,T000462,1962-10-21,tiberipress
Rep,Michael,Turner,R,OH,10,T000463,1960-01-11,RepMikeTurner
Rep,Niki,Tsongas,D,MA,3,T000465,1946-04-26,nikiinthehouse
Rep,Glenn,Thompson,R,PA,5,T000467,1959-07-27,CongressmanGT
Rep,Dina,Titus,D,NV,1,T000468,1950-05-23,repdinatitus
Rep,Paul,Tonko,D,NY,20,T000469,1949-06-18,PaulTonko
Rep,Scott,Tipton,R,CO,3,T000470,1956-11-09,RepTipton
Rep,Mark,Takano,D,CA,41,T000472,1960-12-10,RepMarkTakano
Rep,Fred,Upton,R,MI,6,U000031,1953-04-23,RepFredUpton
Sen,Mark,Udall,D,CO,Senior Seat,U000038,1950-07-18,MarkUdall
Sen,Tom,Udall,D,NM,Senior Seat,U000039,1948-05-18,SenatorTomUdall
Rep,Nydia,Velázquez,D,NY,7,V000081,1953-03-28,NydiaVelazquez
Rep,Peter,Visclosky,D,IN,1,V000108,1949-08-13,repvisclosky
Rep,Chris,Van Hollen,D,MD,8,V000128,1959-01-10,chrisvanhollen
Rep,David,Valadao,R,CA,21,V000129,1977-04-14,RepDavidValadao
Rep,Marc,Veasey,D,TX,33,V000131,1971-01-03,RepVeasey
Rep,Filemon,Vela,D,TX,34,V000132,1963-02-13,RepFilemonVela
Rep,Maxine,Waters,D,CA,43,W000187,1938-08-15,MaxineWaters
Rep,Melvin,Watt,D,NC,12,W000207,1945-08-26,MelWattNC12
Rep,Henry,Waxman,D,CA,33,W000215,1939-09-12,WaxmanClimate
Rep,Ed,Whitfield,R,KY,1,W000413,1943-05-25,repedwhitfield
Sen,Roger,Wicker,R,MS,Junior Seat,W000437,1951-07-05,senatorwicker
Rep,Frank,Wolf,R,VA,10,W000672,1939-01-30,RepWOLFPress
Sen,Ron,Wyden,D,OR,Senior Seat,W000779,1949-05-03,RonWyden
Rep,Greg,Walden,R,OR,2,W000791,1957-01-10,repgregwalden
Rep,Joe,Wilson,R,SC,2,W000795,1947-07-31,USRepJoeWilson
Rep,Lynn,Westmoreland,R,GA,3,W000796,1950-04-02,repwestmoreland
Rep,Tim,Walberg,R,MI,7,W000798,1951-04-12,RepWalberg
Sen,Sheldon,Whitehouse,D,RI,Junior Seat,W000802,1955-10-20,SenWhitehouse
Rep,Robert,Wittman,R,VA,1,W000804,1959-02-03,RobWittman
Sen,Mark,Warner,D,VA,Senior Seat,W000805,1954-12-15,MarkWarner
Rep,Daniel,Webster,R,FL,10,W000806,1949-04-27,RepWebster
Rep,Frederica,Wilson,D,FL,24,W000808,1942-11-05,RepWilson
Rep,Steve,Womack,R,AR,3,W000809,1957-02-18,Rep_SteveWomack
Rep,Ann,Wagner,R,MO,2,W000812,1962-09-13,RepAnnWagner
Rep,Jackie,Walorski,R,IN,2,W000813,1963-08-17,RepWalorski
Rep,Randy,Weber,R,TX,14,W000814,1953-07-02,TXRandy14
Rep,Brad,Wenstrup,R,OH,2,W000815,1958-06-17,RepBradWenstrup
Rep,Roger,Williams,R,TX,25,W000816,1949-09-13,RepRWilliams
Sen,Elizabeth,Warren,D,MA,Senior Seat,W000817,1949-06-22,senwarren
Rep,Don,Young,R,AK,0,Y000033,1933-06-09,repdonyoung
Rep,John,Yarmuth,D,KY,3,Y000062,1947-11-04,RepJohnYarmuth
Rep,Kevin,Yoder,R,KS,3,Y000063,1976-01-08,RepKevinYoder
Rep,Todd,Young,R,IN,9,Y000064,1972-08-24,RepToddYoung
Rep,Ted,Yoho,R,FL,3,Y000065,1955-04-13,RepTedYoho
